title,artist,id
Flowers,Miley Cyrus,na
Kill Bill,SZA,2ty6DmPnxVPpEFuB23XM0x
Creepin',"Metro Boomin, The Weeknd & 21 Savage",4CpujwKsq4DxOIMiKr12m8
Anti-Hero,Taylor Swift,2d3d9xZutJjmUpntiyHt3F
Unholy,Sam Smith & Kim Petras,2nCTOlmH43oR4DqI6xlCpm
Die For You,The Weeknd,6P8qQd1CFkWnaJoykXZNLi
I'm Good (Blue),David Guetta & Bebe Rexha,7ihNiq6gSmy4mlxOx7uIfn
Rich Flex,Drake & 21 Savage,5ohIltdc8ekOOQklRN0Py1
As It Was,Harry Styles,45j9kVVFMQwVmqUw9EBZWf
Just Wanna Rock,Lil Uzi Vert,2xrZxqT66DZEcT0X3Kvrcy
Made You Look,Meghan Trainor,4MHrJOgMvqykhcRtYNWiZQ
Golden Hour,JVKE,5SxZtc0xXmrXcXaoUIQskY
Under The Influence,Chris Brown,4ud5CYIXZekCQSjFCuByXt
Something In The Orange,Zach Bryan,5E6XntSpjoOj9kUhsiSdZq
Cuff It,Beyonce,2TWRjCC6ERPVgKsvXHfIGA
Rock And A Hard Place,Bailey Zimmerman,4TnQPcwIvpxCo1QKrNzT8J
Thank God,Kane Brown With Katelyn Brown,5ekA7j4MPQa3NZbZQSpRfF
You Proof,Morgan Wallen,6YLZ03vXhMlUSaSjobvZhs
Lavender Haze,Taylor Swift,4g2c7NoTWAOSYDy44l9nub
Bad Habit,Steve Lacy,4i7HqWsN7iJzsXpsW5h1nb
Thought You Should Know,Morgan Wallen,03BnRR0svyDHLKs4zl9btw
"Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,7MkylDYvKTSuWgrsBhHlsG
Escapism,RAYE Featuring 070 Shake,4D8h7lEUY0tVRGuX17tz3f
"Going, Going, Gone",Luke Combs,7l0opbsWwkPAy53jZRUBW9
Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown",2xOBiq7NMvSBqlDQjVvOek
Calm Down,Rema & Selena Gomez,6BRtWlr1VmsiPjIFnvg9Qv
Last Night,Morgan Wallen,5gfPJ45gpn3ThswDyeW0Qc
Until I Found You,Stephen Sanchez,6VhuP99TE6gYNQRJIlAWFD
Wait In The Truck,HARDY Featuring Lainey Wilson,7vsjRWuOxWYa20jZbtMqu0
The Kind Of Love We Make,Luke Combs,78Tn2vzu5tAClU4b3I58ME
I Like You (A Happier Song),Post Malone Featuring Doja Cat,6f7BE3VcZScJx6n3wsf5Z3
Shirt,SZA,4NLBrPnLcOgyoOUFmRsDbt
Heart Like A Truck,Lainey Wilson,3YaTU6ysrQHdpocY4PExjB
Wait For U,Future Featuring Drake & Tems,4du1sHf5pUhdEEwqtmOAi2
Snooze,SZA,1Qrg8KqiBpW07V7PNxwwwL
Sure Thing,Miguel,4VCbKkAKlEQrGJ4yO9SsSS
Bebe Dame,Fuerza Regida X Grupo Frontera,5x3RvunGAJ3Ws7r5yhFKeB
Players,Coi Leray,10RmUrJ28kkj7XgekcfZpc
Tomorrow 2,GloRilla & Cardi B,2RkyV0KXNLstEKn2qb1KZ6
Love Again,The Kid LAROI,6ncsVXsY8FaxpK5yg1eMHI
She Had Me At Heads Carolina,Cole Swindell,143NxyffZRHXdVD1MaO5u3
Dawns,Zach Bryan Featuring Maggie Rogers,4soHgvFd9yGVrzTe9TROWl
Whiskey On You,Nate Smith,32ftcUIP8p7zmZT5vLBfy1
Super Freaky Girl,Nicki Minaj,4dFKEyGrwmIimMqwYleFOR
Nobody Gets Me,SZA,0njT9NV9xsV4hLkgZ8yOUD
Unstoppable,Sia,4W7uMjg5a9ZqgNZzpY6ekk
What My World Spins Around,Jordan Davis,0LaZ4n2gyWeO4kFtzpHQ5M
Sunroof,Nicky Youre & dazy,7djmGGWiUoMu9YmWEHrELO
I Ain't Worried,OneRepublic,73PAbYaVbnFG0tQ4aBfxeN
About Damn Time,Lizzo,57IdGqRTGESDyidR9uUSOB
Lift Me Up,Rihanna,1Jb0BvBueT6TBcZKIRWoJ6
Que Vuelvas,Carin Leon X Grupo Frontera,4NfwBgmzmzx8WpyIy9C6p7
Low,SZA,1QnWNMc9ZSTLuAwhXzTYQT
One Thing At A Time,Morgan Wallen,4VWVupm8eU3Njc7YIQHs0F
Tennessee Orange,Megan Moroney,6TQrhZOWTPmG1mESeDRyEN
Bloody Mary,Lady Gaga,30c0cwPpyru7GjzKLJ51jM
What He Didn't Do,Carly Pearce,79ZBn845qsMjNPFKtuKEsF
I Wrote The Book,Morgan Wallen,4vztnwssrON2PJAXtVf4An
Freestyle,Lil Baby,01JMnRUs2YOK6DDpdQASGY
Handle On You,Parker McCollum,6P7aZG4PRvErVyxtHIBts5
Everything I Love,Morgan Wallen,6KVuoJUrhbVgMrqZX5T7Kg
Wild As Her,Corey Kent,0IXdyGzVO91HrnNXW6P5TT
Forget Me,Lewis Capaldi,3Xu1SbsuVDHrnzuNAZEXNB
Growin' Up And Gettin' Old,Luke Combs,5n4kMW5dn7MHFhXQuJb9zG
Here With Me,d4vd,0wY9rA9fJkuESyYm9uzVK5
The Color Violet,Tory Lanez,2cK4RHjjvgs5vLrBdnZ022
Spin Bout U,Drake & 21 Savage,7fyB1cxZ0zj69MQwdKnpk0
Blind,SZA,3ADKmQCxv7dn7KboDdveMF
Love You Better,Future,6RZj1kBuWGiE7tgOiZErWR
La Bachata,Manuel Turizo,5QgwnXXptPRxrkglPpuraT
I'm Not Here To Make Friends,Sam Smith,2lsqxC8ycVQreqAGiMDrtT
Nonsense,Sabrina Carpenter,7yogx3TwxGwSxO2QITsT2q
No Se Va,Grupo Frontera,1O0IFR3MYqgQbziKTCf0X4
10:35,Tiesto Featuring Tate McRae,3CKbz7DsOPl94W9duLx9HK
