danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.902,0.544,7,-8.242,0,0.242,0.153,0.0,0.111,0.136,131.912,audio_features,7b4LMdMrjPLNUNwxO46sQR,spotify:track:7b4LMdMrjPLNUNwxO46sQR,https://api.spotify.com/v1/tracks/7b4LMdMrjPLNUNwxO46sQR,https://api.spotify.com/v1/audio-analysis/7b4LMdMrjPLNUNwxO46sQR,160000,4
0.389,0.158,4,-16.275,0,0.0367,0.355,0.00223,0.0483,0.175,100.521,audio_features,1A0vYSbkZ6q8wPjFHTzl83,spotify:track:1A0vYSbkZ6q8wPjFHTzl83,https://api.spotify.com/v1/tracks/1A0vYSbkZ6q8wPjFHTzl83,https://api.spotify.com/v1/audio-analysis/1A0vYSbkZ6q8wPjFHTzl83,269736,3
0.723,0.71,2,-6.975,1,0.254,0.204,2.07e-06,0.196,0.927,155.17,audio_features,0lGUPzw6w4mV2FTistURWG,spotify:track:0lGUPzw6w4mV2FTistURWG,https://api.spotify.com/v1/tracks/0lGUPzw6w4mV2FTistURWG,https://api.spotify.com/v1/audio-analysis/0lGUPzw6w4mV2FTistURWG,73974,4
0.726,0.926,1,-3.523,1,0.0534,0.0269,3.86e-06,0.0519,0.545,108.0,audio_features,50x2U9uVnVjbbxZNyhtSg4,spotify:track:50x2U9uVnVjbbxZNyhtSg4,https://api.spotify.com/v1/tracks/50x2U9uVnVjbbxZNyhtSg4,https://api.spotify.com/v1/audio-analysis/50x2U9uVnVjbbxZNyhtSg4,203981,4
0.629,0.506,11,-10.177,1,0.307,0.000886,0.0,0.118,0.341,159.054,audio_features,3DNKr4PKvm6weTbNmFSMbn,spotify:track:3DNKr4PKvm6weTbNmFSMbn,https://api.spotify.com/v1/tracks/3DNKr4PKvm6weTbNmFSMbn,https://api.spotify.com/v1/audio-analysis/3DNKr4PKvm6weTbNmFSMbn,169143,4
0.5,0.224,3,-12.431,1,0.0935,0.646,0.0,0.284,0.62,202.481,audio_features,04vLj9QUXoKdRlsp3gkURo,spotify:track:04vLj9QUXoKdRlsp3gkURo,https://api.spotify.com/v1/tracks/04vLj9QUXoKdRlsp3gkURo,https://api.spotify.com/v1/audio-analysis/04vLj9QUXoKdRlsp3gkURo,175333,4
0.603,0.703,0,-8.292,1,0.0304,0.00117,0.652,0.121,0.254,132.107,audio_features,5sPS26YvtzEbBCHnEtqQAq,spotify:track:5sPS26YvtzEbBCHnEtqQAq,https://api.spotify.com/v1/tracks/5sPS26YvtzEbBCHnEtqQAq,https://api.spotify.com/v1/audio-analysis/5sPS26YvtzEbBCHnEtqQAq,241635,4
0.695,0.643,8,-7.983,1,0.0795,0.125,0.000128,0.0224,0.886,102.851,audio_features,3j3pLudjSCN0kaXH0YCps8,spotify:track:3j3pLudjSCN0kaXH0YCps8,https://api.spotify.com/v1/tracks/3j3pLudjSCN0kaXH0YCps8,https://api.spotify.com/v1/audio-analysis/3j3pLudjSCN0kaXH0YCps8,288360,4
0.551,0.773,11,-6.578,0,0.101,0.0673,3.39e-05,0.0511,0.649,90.003,audio_features,4bnjq8zqtCnxTGxll5ezOO,spotify:track:4bnjq8zqtCnxTGxll5ezOO,https://api.spotify.com/v1/tracks/4bnjq8zqtCnxTGxll5ezOO,https://api.spotify.com/v1/audio-analysis/4bnjq8zqtCnxTGxll5ezOO,159293,4
0.419,0.902,7,-2.082,1,0.161,0.0865,0.000989,0.34,0.469,145.009,audio_features,02hnKrZkgKZkclzMrPwPRw,spotify:track:02hnKrZkgKZkclzMrPwPRw,https://api.spotify.com/v1/tracks/02hnKrZkgKZkclzMrPwPRw,https://api.spotify.com/v1/audio-analysis/02hnKrZkgKZkclzMrPwPRw,210994,4
0.363,0.338,7,-8.148,1,0.0283,0.732,0.0,0.132,0.134,81.595,audio_features,6W65jVdn0JtttcvFN1KppC,spotify:track:6W65jVdn0JtttcvFN1KppC,https://api.spotify.com/v1/tracks/6W65jVdn0JtttcvFN1KppC,https://api.spotify.com/v1/audio-analysis/6W65jVdn0JtttcvFN1KppC,185907,4
0.81,0.631,0,-9.75,1,0.128,0.138,0.000945,0.0762,0.475,102.043,audio_features,7sxTjnPqokxnHlLrZorBK7,spotify:track:7sxTjnPqokxnHlLrZorBK7,https://api.spotify.com/v1/tracks/7sxTjnPqokxnHlLrZorBK7,https://api.spotify.com/v1/audio-analysis/7sxTjnPqokxnHlLrZorBK7,289013,4
0.698,0.868,8,-4.748,1,0.0582,0.0104,0.0,0.343,0.378,130.031,audio_features,72EngNlhSiPugQCQniZ0fY,spotify:track:72EngNlhSiPugQCQniZ0fY,https://api.spotify.com/v1/tracks/72EngNlhSiPugQCQniZ0fY,https://api.spotify.com/v1/audio-analysis/72EngNlhSiPugQCQniZ0fY,224933,4
0.641,0.0691,2,-26.208,1,0.0497,0.222,0.905,0.137,0.284,147.919,audio_features,7D6koFGnIjh4Dwk9AOdxdU,spotify:track:7D6koFGnIjh4Dwk9AOdxdU,https://api.spotify.com/v1/tracks/7D6koFGnIjh4Dwk9AOdxdU,https://api.spotify.com/v1/audio-analysis/7D6koFGnIjh4Dwk9AOdxdU,132304,4
0.644,0.757,11,-4.8,0,0.268,0.000466,0.0886,0.624,0.301,150.282,audio_features,2ZomYJ3be6cfye1shw4TCd,spotify:track:2ZomYJ3be6cfye1shw4TCd,https://api.spotify.com/v1/tracks/2ZomYJ3be6cfye1shw4TCd,https://api.spotify.com/v1/audio-analysis/2ZomYJ3be6cfye1shw4TCd,180000,4
0.52,0.621,9,-9.808,0,0.345,0.205,2.3e-06,0.0992,0.366,157.699,audio_features,4eARRF0TmKM3geH6vPg7Js,spotify:track:4eARRF0TmKM3geH6vPg7Js,https://api.spotify.com/v1/tracks/4eARRF0TmKM3geH6vPg7Js,https://api.spotify.com/v1/audio-analysis/4eARRF0TmKM3geH6vPg7Js,165090,4
