title,artist,id
Otw,Khalid,48KXAIruJ07kJVCWOGohMV
Cool,Alesso,1bgKMxPQU7JIZEhNsM1vFs
She'S Got A Way With Words,Blake Shelton,4DejAPpe3y3GhVl1Ag4bTz
Lost In The Woods,Jonathan Groff,2Im64pIz6m0EJKdUe6eZ8r
Sine From Above,Lady Gaga,3tABM9Cgph2HpCOUcPwRWr
La Perrie,Eslabon Armado,7KDYKPhxFFRDBSbgcfLxUT
Be Something,Polo G,0XMl0fVTh3PyPlwyJTn33n
One Mississippi,Kane Brown,0Oi7zqvcemjjhP2GemAY0z
Midsummer Madness,88Rising,5q3LwAHTqo9d3rET2EA9Nq
Fun Tonight,Lady Gaga,2NZyl6dEAndDxru3X23pp9
Exchange,Bryson Tiller,7LJZyNjN5U0LdYSBQ9hlLz
A Sweeter Place,Selena Gomez,1e6R9cHhvX53PmB6LOFvni
Eazy  Nothing To Me,G,3zZ2THLkGS76yPbOEHFKMR
A Nonsense Christmas,Sabrina Carpenter,5KeI897tZgjezHKvxlaOaR
What Happened To Virgil,Lil Durk,74C8vEwsNT5OTg8VQOsoUD
Not Fair,The Kid Laroi,6ilmDtTR9yGrZCIOnMLNQy
That'S What I Like,Bruno Mars,1fmi1hOBtH8xfUiWz4LVtE
Eventually,Tame Impala,2gzbxB3kWvXNxVnC3YfAQa
Up From The Ashes,Kanye West,0Ybg4STT8AkU6z3iKI5UGS
"Valentine, Texas",Mitski,5V5eCLSxm7JWLj9vOcNLIw
My Ex'S Best Friend,Machine Gun Kelly,0I8lswmmV7otlaAbZbwfXY
You Were Good To Me,Jeremy Zucker,0TsWu7ZYypXsIEIPwl6BOi
Dos Morritas,Eslabon Armado,4WkyOBjeLPk7rAisyKl0uN
Merlin’S Staff,Ski Mask The Slump God,3EikYy40GMSp8l5mDV6IQo
Faith,Bon Iver,2ETqioHedGmk5hjb3F2CCQ
Party Girl,Staysolidrocky,0XkmeG97T4mtYlWRJcrxec
Just So You Remember,Pusha T,4VUaNuu57pfS21ZiWOJ9dj
"Wu Tang Forever (Ft. Ghostface Killah, Raekwon, Rza, Method Man, Inspectah Deck, Cappadonna, Jackpot Scotty Wotty, Ugod, Masta Killa, Gza)",Logic,1Sgj10byiGzPpI2IrXSFEn
Lie Lie Lie,Joshua Bassett,6HFBEmPZYh0pUas5O9q6Fq
Blessings,Big Sean,6mevhNrcHqHgHgisXUNaqw
Un Dia (One Day) (Feat. Tainy),J Balvin,5aXdE6AyjGce9lDyYmMQyj
Outta Time,Future,661BYxmgtbIFtG5K2GDhip
Shine,Joey Bada$$,6Hm7czZkkTtlj0JRvbYfRQ
Jonah,Kanye West,1XpAZlfENlrHalIvuhAp9R
Life Is A Puzzle Solve It,Keyliu,0B2LVM9Xi1aRDPLQwlZUeP
Put Me Back Together,Cheat Codes,6LpxEWeuvaMrrsGgX5CSQv
A.M.,One Direction,48EwHbxDnA8dr3yE4H1ukI
Bed,Nicki Minaj,1nhQeIgGXHe50L8Yzw6GVs
Knew Better / Forever Boy,Ariana Grande,7J5l14JJ21Oo0yW4gbSBCq
Gold Rush,Taylor Swift,4N5s8lPTsjI9EGP7K4SXzB
Record Year,Eric Church,05ZACkzW8YbRq3eFgIfSNB
Drum,Mø,6LKJwN8aF3uYod3JUPXjQR
Go!,Moneybagg Yo,4i32zrLpygBg5Ruy1uqN78
Smile,Katy Perry,4HpgUlwIh3JbSW4r8C2SmP
Gone Are The Days,Kygo,6xTU6B6nFwKKTSZ9ySXS80
Ghost,Mystery Skulls,1zNPQv792Cf51iswrZoeyt
Different For Girls,Dierks Bentley,0Mw6jSUdRMcW9qqGmUQRMG
Coast To Coast,Nav,0VszGiruh5kGM1SK60BPKH
Linus And Lucy,Vince Guaraldi Trio,3bMfUUpzUzqWp9II00yRhE
Betrayal,Trippie Redd,75lcPkAkUsKWHGBlGM476R
End Of The Day,One Direction,3l3xTXsUXeWlkPqzMs7mPD
Don’T Break My Heart,The Weeknd,0u2eUJPIAgcqQt0QwqceK4
Wit The Shits (W.T.S),Meek Mill,04L8xPNPhOYQUlul06mJiD
Softly,Clairo,1F6IbA7di42uPc3cff8PXV
Seven Nation Army,The White Stripes,372mS4Sh4wbtm14lzrO4ag
Middle Of A Memory,Cole Swindell,0CwiF8zPjl7ESC6nDnBvPo
Everybody Dies,Logic,3802mS7Nir3TleHudYecvN
Your Song,Rita Ora,1KJo77sWdPSAUlEXY7Wzqk
I Must Apologise,Pinkpantheress,35E8effZCAR74DWW8azfZm
Break The Bank,Young Dolph,3TXy6nchgKeYlVwOKNk9lE
Why,Sabrina Carpenter,6Alp15t6urC4opjJiyOqZu
Girls Chase Boys,Ingrid Michaelson,4SsYgolGBIPRVYv9ocxAgv
Inside Out,The Chainsmokers,6IiCb4PCrDgqLuDWgHhFi7
Roman Holiday,Halsey,5u5WBORMyoGaNmMsTeMuLN
Set Fire To The Rain,Adele,1oQh7eAdF4bMfEkfjk2yFF
"...And To Those I Love, Thanks For Sticking Around",$Uicideboy$,0kEZlJh4mK1QRfb3CT5LPk
Out Of Sight,Logic,6ZWWpMAAWANAAoAiLZULRg
Rich Mf,Trippie Redd,75lcPkAkUsKWHGBlGM476R
Home,Mike Dimes,3Ln9xcE0iQcigMmLqV3fEi
Thousand Miles,The Kid Laroi,4w1lzcaoZ1IC2K5TwjalRP
Only Love,Ben Howard,3CAX47TnPqTujLIQTw8nwI
Pray,Jessie Murph,6mp5GtXQ7C18Nq1FWyAaPq
Poppin,Yeat,0oO1AbL92F6329z13C2qQH
I Can Have It All,Dj Khaled,5s91S8hSrJXqYdhwHOEioV
Dreamland,Glass Animals,40rOlDoGejXXF4B0BYsjx8
Gold Slugs,Dj Khaled,4Ai8D5oSRQgkU74V3azbwu
Wandered To La,Juice Wrld,6FAUFyaCJngbMKQk16bETb
Pussy & Millions,Drake,3iZoq1xJYS8FXXZrlLP3cP
No Longer Friends,Bryson Tiller,629NRMzA7LTXSuzwG7R1Ag
Monëy So Big,Yeat,6c68AkpV31XRejmju9dQls
No Shopping,French Montana,3ZZI9wfCSbOhKLNXIp7NpS
Butter,Bts,3IA9LkBEVhJDOxOnh1nf8a
Chosen,Blxst,6Fc9IYSkbmVwv4dlzn8hJb
Racks 2 Skinny,Migos,0wbnC9AUenxp613TYaJsGK
Froze,Meek Mill,3J4VKkUpLvomXJbn9ZAypO
Unapologetic,Polo G,3JKgcAa7r07ocVWcV8bS0H
Yankee And The Brave (Ep. 4),Run The Jewels,1hxVQkhDJN2UnkgeqX68D3
Sid & Nancy,Machine Gun Kelly,33Eni3hZ13PUCR1mDfSsnt
Ily,Surf Mesa,4TpXLhpLYQPMHM1A8W9J84
Congratulations,Post Malone,1OubIZ0ARYCUq5kceYUQiO
Massage In My Room,Future,4UueJq3W7wPiNPihn23QAh
Bandit,Juice Wrld,1oWM79mUVdZGCGYjSirHZR
Talking Body,Tove Lo,164QjgWOxnSZYHQghRKeC0
Big Blue,Vampire Weekend,6UrNUfys0o9Z1FvaGaQK0g
Bank Account,21 Savage,2eFhGSE5WbFjKY4ZBI8q2n
High Today,Wiz Khalifa,5tn6OZZLJQRNsN8B83W1zf
Stick Talk,Future,0F7FlaQBiyNkV8iakTocsW
Rockstar Chainz,Future,3M1YENGcE5T2apzTP7VDTx
Brother’S Keeper,Dababy,2pTBwabGYC8lJggx8ux7Su
Love It When You Hate Me,Avril Lavigne,45v8CqQZSZ5ll8AMxDvWqW
For A Nut,Future,4cGniO4stDhYcbZJVJDUj8
Big Boy Talk,Dj Khaled,6vfzPIYPrBynL732YnBHob
My Ordinary Life,The Living Tombstone,611nlMA40SKg9gQ4pTVXT3
223'S,Ynw Melly,0QXfphuBZ59VMAA6gc9bEZ
Life Of The Party,Shawn Mendes,4yzaniwZb01bp0gT5BYwBv
Lux Æterna,Metallica,62Da3JOu9H9EIgmqV7DoLG
Woke Up This Morning (My Baby She Was Gone),B.B. King,2nix8LwkSyDlO4NBqf6Q07
One Call Away,Charlie Puth,0UNTBB02C1aB55Fu4H63qd
"You'Re A Mean One, Mr. Grinch",Thurl Ravenscroft,1lt2526I5msmAiu0lbx4Qo
Recap,Nav,5rU6kDNXZLXIinFezpbWbO
First,Cold War Kids,12pdXFcruNcPUbZypKUDgz
Right Hand,Drake,0XG3BwQGXXurNLn5UI4e95
Driving Home For Christmas  2019 Remaster,Chris Rea,58zIMdCzirDRZdOrDvdJYt
Matrix,Nle Choppa,0T0vseuNB4KC8opkrCLNbc
Trap And A Dream,A$Ap Ferg,7eaKWfov7b2Qa2n6HTesL3
Pretty Girls,Britney Spears,2Adn2LNgkHMH5TelQVAu4n
Bust Down,Trippie Redd,4uxfzOKjdBhygaf7fG8MRW
Blood On My Denim,A Boogie Wit Da Hoodie,3mjRtClJ2di42t8QpVnyso
Big Shot,Gunna,5cXg9IQS34FzLVdHhp7hu7
Kids Turned Out Fine,A$Ap Rocky,1qViTRI0iOJsI0c5VNXCXV
Bath Salts,Dmx,252T5dAokvMiNzXZchojoH
Feel Good Inc,Gorillaz,1nIvUHUPtKLz59eMCGlppe
Wunna Flo,Gunna,6AqyOBsqGLZHp9NTAXBLCQ
Ooh La La,Run The Jewels,4lJ6YVXQ0jUk5ILu0PSrA4
Obsessed,Calvin Harris,2dKqefmjMZUyCyrlnEyIuv
Venom  Music From The Motion Picture,Eminem,3r9m79pHykbs4FrCXlq1oO
I Heard You’Re Married,The Weeknd,25YKz9PgDO2kBREfWc4lH9
