danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.82,0.618,4,-10.946,1,0.335,0.377,0.0,0.119,0.492,92.917,audio_features,5nRjLx0FfqNyYabAEZHSaw,spotify:track:5nRjLx0FfqNyYabAEZHSaw,https://api.spotify.com/v1/tracks/5nRjLx0FfqNyYabAEZHSaw,https://api.spotify.com/v1/audio-analysis/5nRjLx0FfqNyYabAEZHSaw,194904,4
0.869,0.568,11,-7.631,0,0.104,0.0759,0.00344,0.101,0.394,111.994,audio_features,0JZUiKHoEDpsLvXfeqbZxV,spotify:track:0JZUiKHoEDpsLvXfeqbZxV,https://api.spotify.com/v1/tracks/0JZUiKHoEDpsLvXfeqbZxV,https://api.spotify.com/v1/audio-analysis/0JZUiKHoEDpsLvXfeqbZxV,152680,4
0.682,0.674,1,-5.626,1,0.419,0.0713,4.21e-06,0.347,0.472,169.044,audio_features,6JoRUhFFewHMf0R6AAZorn,spotify:track:6JoRUhFFewHMf0R6AAZorn,https://api.spotify.com/v1/tracks/6JoRUhFFewHMf0R6AAZorn,https://api.spotify.com/v1/audio-analysis/6JoRUhFFewHMf0R6AAZorn,129289,4
0.537,0.657,2,-9.388,0,0.563,0.377,0.0,0.151,0.653,149.803,audio_features,7KFaMe479G4CSER4kU5jrf,spotify:track:7KFaMe479G4CSER4kU5jrf,https://api.spotify.com/v1/tracks/7KFaMe479G4CSER4kU5jrf,https://api.spotify.com/v1/audio-analysis/7KFaMe479G4CSER4kU5jrf,120000,4
0.603,0.497,11,-7.9,1,0.0344,0.864,0.646,0.0644,0.233,82.526,audio_features,5dwoip9nmS37n9jV65lAki,spotify:track:5dwoip9nmS37n9jV65lAki,https://api.spotify.com/v1/tracks/5dwoip9nmS37n9jV65lAki,https://api.spotify.com/v1/audio-analysis/5dwoip9nmS37n9jV65lAki,150872,4
0.711,0.652,9,-8.063,1,0.0675,0.0016,0.0122,0.354,0.391,105.016,audio_features,1bYg42gARlsX4iKQPDYs7l,spotify:track:1bYg42gARlsX4iKQPDYs7l,https://api.spotify.com/v1/tracks/1bYg42gARlsX4iKQPDYs7l,https://api.spotify.com/v1/audio-analysis/1bYg42gARlsX4iKQPDYs7l,236670,4
0.584,0.177,11,-14.372,1,0.11,0.97,0.857,0.0882,0.0612,84.969,audio_features,4yw3DrnCqMO5ucqvfCZcxT,spotify:track:4yw3DrnCqMO5ucqvfCZcxT,https://api.spotify.com/v1/tracks/4yw3DrnCqMO5ucqvfCZcxT,https://api.spotify.com/v1/audio-analysis/4yw3DrnCqMO5ucqvfCZcxT,113647,4
0.65,0.831,1,-7.334,1,0.211,0.00162,0.0,0.459,0.585,163.997,audio_features,5yupUdsRO0xuKR7aGs0elv,spotify:track:5yupUdsRO0xuKR7aGs0elv,https://api.spotify.com/v1/tracks/5yupUdsRO0xuKR7aGs0elv,https://api.spotify.com/v1/audio-analysis/5yupUdsRO0xuKR7aGs0elv,128836,4
0.262,0.119,0,-14.959,0,0.0344,0.887,0.728,0.129,0.0363,70.499,audio_features,33THwcxqpIsFS8mNusP5Y7,spotify:track:33THwcxqpIsFS8mNusP5Y7,https://api.spotify.com/v1/tracks/33THwcxqpIsFS8mNusP5Y7,https://api.spotify.com/v1/audio-analysis/33THwcxqpIsFS8mNusP5Y7,199100,4
0.59,0.379,0,-8.717,1,0.0255,0.544,0.0,0.0983,0.467,96.029,audio_features,0x3CUvkL4jUPYVONrYUubR,spotify:track:0x3CUvkL4jUPYVONrYUubR,https://api.spotify.com/v1/tracks/0x3CUvkL4jUPYVONrYUubR,https://api.spotify.com/v1/audio-analysis/0x3CUvkL4jUPYVONrYUubR,294521,4
