title,artist,id
Nephew,Smokepurpp,7b4LMdMrjPLNUNwxO46sQR
Chemtrails Over The Country Club,Lana Del Rey,1A0vYSbkZ6q8wPjFHTzl83
Summer Games,Drake,0lGUPzw6w4mV2FTistURWG
Get Low,Zedd,50x2U9uVnVjbbxZNyhtSg4
Talk,Yeat,3DNKr4PKvm6weTbNmFSMbn
Mele Kalikimaka  Single Version,Bing Crosby,04vLj9QUXoKdRlsp3gkURo
Crystals,Of Monsters And Men,5sPS26YvtzEbBCHnEtqQAq
Come To Mama,Lady Gaga,3j3pLudjSCN0kaXH0YCps8
What Am I,Why Don'T We,4bnjq8zqtCnxTGxll5ezOO
Be Right There,Diplo,02hnKrZkgKZkclzMrPwPRw
Merry Christmas Darling,Christina Perri,6W65jVdn0JtttcvFN1KppC
I'Ll Take You On,Brockhampton,7sxTjnPqokxnHlLrZorBK7
We Dem Boyz,Wiz Khalifa,72EngNlhSiPugQCQniZ0fY
Free Spirit,Drake,7D6koFGnIjh4Dwk9AOdxdU
State Of Emergency,Logic,2ZomYJ3be6cfye1shw4TCd
Wash Us In The Blood,Kanye West,4eARRF0TmKM3geH6vPg7Js
Simple Things,Nas,2zDjtJLLGKX4GbIQFzKAOY
Crown The Kings,Migos,0M9ydKzuF3oZTfYYPfaGX1
Champagne Problems,Taylor Swift,0zn1oYv6avs4pw4hfELmB7
Before I Close My Eyes,Xxxtentacion,63utakUAwjrSRsMG0DFRBH
Look At Me!,Xxxtentacion,1m5HcIPX2T3wSoiHWhgwpA
Detention,Melanie Martinez,2BtLL5NgbDjYv30vKdLK19
East Atlanta Love Letter,6Lack,3Q33RhbyoFul9LdKKjticI
Nervous,Famous Dex,1KauTvLzJb1rV7S6o9Eeql
Elon Musk,Ddg,45hgqXjx0fnip2DQvF23dx
Misunderstood,Pnb Rock,3DkSirQyz93TaxZ0f0DloI
Cinderella Story,A Boogie Wit Da Hoodie,5m9sW9zAGdIwzY4Kyu0WdR
Let Me Know,Kodak Black,6XmuO9aBU5Fnu7ejdLOiwe
Eazy  Him & I,G,7MxjKoJgKIxZ0f2gCQBW6W
Early Morning Trappin,Rich The Kid,6excfi52hCKksRlRt55VH2
Run Rudolph Run  Single Version,Chuck Berry,3JBreLq6ooM8qydZXAIdQx
Go Part 1,Polo G,3UnYMo1aeD0o8VtHy3R8cs
Lookin Exotic,Future,1ryWdSTZQIrBOp5Bm9UWZt
Talk Of The Town,Jack Harlow,644ysZyhy3ayBapeJxy01j
