title,artist
Talking To The Moon,Bruno Mars
It Just Doesn’T Matter,Mac Miller
Mop,Gunna
King Vamp,Playboi Carti
Need Me,J.I The Prince Of N.Y
Tragic,The Kid Laroi
The World'S First Ever Monster Truck Front Flip,Arctic Monkeys
Years Go By,Bryson Tiller
Out My Way,Juice Wrld
I'M Tired,Labrinth
Betty,Taylor Swift
Don'T Do Me Like That,Tom Petty And The Heartbreakers
Be My Mistake,The 1975
Wait (Featuring Offset & Vory),Chantel Jeffries
Boomtrap Protocol,Logic
By Your Side,Jonas Blue
30 Hours,Kanye West
Blame,Bastille
Social Distancing,Lil Baby
Jerry Sprunger,Tory Lanez
Believe,Eminem
Inside,Logic
Testify,Future
My Hair,Ariana Grande
Conqueror,Empire Cast
T R A N S P A R E N T S O U L Feat. Travis Barker,Willow
Lo/Hi,The Black Keys
Solo De Mi,Bad Bunny
Walk Me Home,Said The Sky
Memories,Maroon 5
Stuck With Me,Timeflies
You Just Want My Money,Jason French
So What,Bts
Christmas Eve,Justin Bieber
Cornelia Street,Taylor Swift
Guatemala,Rae Sremmurd
Father Stretch My Hands Pt. 1,Kanye West
She Don'T Love Me,Zayn
Into It,Camila Cabello
Slide Around,Chance The Rapper
Another Love,Tom Odell
Hopeless Opus,Imagine Dragons
Forever,Haim
Jobs,City Girls
On Me,Thomas Rhett
Reckless Intro,Nav
I Bet You Think About Me,Taylor Swift
Moonwalking In Calabasas,Ddg
The Plan,Travis Scott
Gangsta'S Paradise,Coolio
Llc,Nicki Minaj
Want Some More,Nicki Minaj
Soulmate,Lizzo
Thought It Was,Iann Dior
182  Teenage Satellites,Blink
You Can Call Me Al,Paul Simon
Christmas Time Is Here,Brett Eldredge
Me And Your Mama,Childish Gambino
Make Em Say,Nle Choppa
Drugs,August Alsina
Never Change,Nav
A.M. Radio,The Lumineers
Ride Out,Kid Ink
Realize,2 Chainz
The Greatest,Lana Del Rey
Buy Me A Boat,Chris Janson
Intoxicated,Martin Solveig
Beasty,A Boogie Wit Da Hoodie
Shockwave,Marshmello
Ghost Town,Adam Lambert
Paper Planes,M.I.A.
Foldin Clothes,J. Cole
Put Your Records On,Ritt Momney
Sun Daze,Florida Georgia Line
I Don’T Wanna Break Up,Future
Young God,Halsey
Homecoming Queen?,Kelsea Ballerini
The City,Louis The Child
Christmas Is Coming,Vince Guaraldi Trio
Amazing Grace,Dababy
I'M Scared,Young Thug
Me Too,Meghan Trainor
Not For Long,B.O.B
Ace Of Spades,Motörhead
Ship To Wreck,Florence + The Machine
Knock Knock,Sofaygo
Long Gone,Juice Wrld
More Than My Hometown,Morgan Wallen
Christmas Time Is Here  Vocal  Album Version,Vince Guaraldi Trio
Kid That Kidd,Trippie Redd
Egirls Are Ruining My Life!,Corpse
Say Na,Moneybagg Yo
Suicide,Polo G
A Letter To My Younger Self Feat. Logic,Quinn Xcii
Nobody'S Love,Maroon 5
Rgf Island,Fetty Wap
T'D Up,Rae Sremmurd
No Es Justo,J Balvin
See You Space Cowboy...,Logic
5 Foot 9,Tyler Hubbard
Once In A Lifetime,Flo Rida
Can'T Be Broken,Lil Wayne
Privileged Rappers,Drake
Scholarships,Drake
In Your Eyes,The Weeknd
Problematic,Bo Burnham
Rackz Got Më,Yeat
Thunder,Imagine Dragons
Daddy Lessons,Beyoncé
Bad Liar,Selena Gomez
Have Some Love,Childish Gambino
Maroon,Taylor Swift
Plastic Off The Sofa,Beyoncé
Difference (Interlude),Xxxtentacion
Banana Split,Murda Beatz
Carry Me,Kygo
Slide,French Montana
Grieving,Kehlani
Mickey,Lil Yachty
Hollywood,Gorillaz
Moving On And Getting Over,John Mayer
The Gambler,Kenny Rogers
Celebration,Logic
Intro: Serendipity,Bts
Runaway (U & I),Galantis
Blow Your Mind (Mwah),Dua Lipa
Cairo,Karol G
Deep Pockets,Drake
Time Kills (Love Birds),Rod Wave
Boss,The Carters
Antidote,Travis Scott
I Bet,Ciara
Bang!,Ajr
Don'T Stop Me Now  Remastered,Queen
All Eyez,The Game
Ghost Town,Kanye West
Started From,Lil Durk
A2Z,Logic
8Teen,Khalid
Wellerman,The Longest Johns
Spit In My Face!,Thxsomch
Top Sound,Youngboy Never Broke Again
Brown Skin Girl,Beyoncé
Learn To Fly,Surfaces
Moon Rock,Huncho Jack
You'Ll Understand When You'Re Older,Lovejoy
Servin Killa Kam,Future
Karate,Wiz Khalifa
Undefeated,Future
Bad Boy,Juice Wrld
The Heart Part 4,Kendrick Lamar
Breathe,Lil Skies
Most Of Us,Wiz Khalifa
Idols Become Rivals,Rick Ross
Have Mercy,Chlöe
Don'T Wanna Know,Bo Burnham
Before The Day Is Over,Joji
Eazy  Running Wild (Tumblr Girls 2),G
Supermodel,Sza
Timeless Interlude,Bryson Tiller
By Design,Kid Cudi
Inspire Me,Big Sean
Save That Shit,Lil Peep
The Good Ones,Gabby Barrett
Arcoíris,J Balvin
Switches & Dracs,Moneybagg Yo
Heat,Eminem
Arms Around You,Xxxtentacion
Way Out,Jack Harlow
Offended,Eminem
Coney Island,Taylor Swift
Luv,Tory Lanez
Tony Tone,A$Ap Rocky
Flatliner,Cole Swindell
Love You Goodbye,One Direction
Space Time,Trippie Redd
734,Juice Wrld
"Signed, Sealed, Delivered (I'M Yours)",Stevie Wonder
Frosty The Snowman,Bing Crosby
Younger Now,Miley Cyrus
I'Ll Be Home For Christmas  Single Version,Bing Crosby
My Number,Major Lazer
Jump,Dababy
Boyz,Jesy Nelson
Work It,Missy Elliott
Hotel,Montell Fish
No Sense,Young Dolph
Faster,Lil Tecca
Pretty Little Fears,6Lack
Riot,Lil Skies
Jumped Out The Window,Young Thug
Really Love,D'Angelo
Leray,Trippie Redd
If You Know You Know,Pusha T
Not Above Love,Alunageorge
Warning,Morgan Wallen
Transportin',Kodak Black
Perfume,Lovejoy
Chandelier,Sia
Kick It,Lil Nas X
